iter	Passed	Remaining
0	150	59861
1	153	30454
2	156	20645
3	159	15836
4	163	12906
5	168	11044
6	173	9739
7	179	8811
8	182	7918
9	185	7217
10	189	6692
11	192	6215
12	196	5843
13	198	5484
14	200	5145
15	202	4854
16	204	4614
17	207	4406
18	210	4217
19	212	4046
20	215	3885
21	217	3734
22	219	3597
23	221	3466
24	222	3341
25	224	3229
26	226	3124
27	227	3027
28	229	2939
29	231	2854
30	233	2776
31	234	2699
32	236	2630
33	238	2565
34	239	2502
35	241	2444
36	243	2390
37	245	2335
38	246	2285
39	248	2236
40	250	2190
41	251	2146
42	253	2103
43	255	2064
44	257	2027
45	259	1993
46	260	1959
47	262	1926
48	264	1895
49	266	1866
50	268	1836
51	270	1810
52	272	1783
53	274	1757
54	275	1730
55	277	1706
56	279	1682
57	281	1659
58	283	1636
59	284	1614
60	286	1593
61	288	1573
62	290	1554
63	292	1534
64	294	1515
65	295	1496
66	297	1480
67	299	1462
68	301	1444
69	302	1426
70	304	1409
71	306	1395
72	308	1383
73	310	1370
74	312	1356
75	314	1341
76	316	1328
77	318	1314
78	320	1301
79	322	1288
80	324	1276
81	325	1264
82	327	1251
83	329	1238
84	331	1226
85	332	1214
86	334	1203
87	336	1191
88	337	1180
89	339	1169
90	341	1158
91	343	1148
92	344	1138
93	346	1127
94	348	1118
95	349	1107
96	351	1098
97	353	1089
98	355	1080
99	357	1071
100	359	1063
101	361	1055
102	363	1048
103	365	1040
104	367	1032
105	370	1027
106	372	1021
107	375	1015
108	377	1008
109	380	1001
110	382	995
111	384	987
112	386	980
113	388	974
114	390	968
115	393	963
116	395	956
117	397	949
118	399	942
119	401	936
120	403	929
121	405	923
122	406	916
123	408	909
124	410	902
125	411	895
126	413	889
127	415	883
128	417	877
129	419	871
130	421	864
131	423	859
132	425	853
133	427	847
134	428	841
135	430	834
136	431	828
137	433	823
138	435	818
139	437	813
140	440	808
141	442	803
142	444	799
143	447	794
144	448	789
145	450	784
146	453	780
147	455	775
148	457	770
149	459	766
150	461	761
151	463	756
152	465	751
153	468	747
154	470	743
155	472	738
156	474	733
157	475	728
158	477	724
159	479	719
160	481	715
161	483	710
162	485	706
163	487	701
164	489	697
165	491	692
166	493	688
167	495	683
168	497	679
169	499	675
170	501	671
171	502	666
172	504	662
173	506	658
174	508	653
175	510	649
176	512	645
177	514	641
178	516	637
179	518	633
180	520	629
181	522	625
182	524	622
183	527	619
184	530	616
185	532	612
186	534	608
187	536	604
188	538	600
189	540	597
190	542	593
191	544	589
192	547	586
193	549	583
194	552	580
195	553	576
196	556	573
197	558	569
198	560	566
199	562	562
200	564	558
201	566	555
202	568	551
203	569	547
204	571	543
205	574	540
206	576	537
207	578	533
208	580	530
209	582	526
210	583	523
211	586	519
212	587	516
213	589	512
214	591	508
215	593	505
216	594	501
217	596	498
218	598	494
219	599	490
220	601	487
221	604	484
222	606	481
223	608	478
224	610	474
225	612	471
226	613	467
227	615	464
228	617	460
229	619	457
230	620	454
231	622	450
232	624	447
233	625	444
234	627	440
235	629	437
236	630	433
237	632	430
238	634	427
239	635	423
240	637	420
241	639	417
242	640	414
243	642	410
244	644	407
245	646	404
246	647	401
247	649	398
248	651	395
249	653	391
250	654	388
251	656	385
252	658	382
253	659	379
254	661	376
255	663	373
256	665	370
257	666	367
258	668	363
259	670	361
260	672	358
261	674	355
262	675	352
263	677	349
264	679	346
265	681	343
266	682	340
267	684	337
268	686	334
269	687	331
270	689	328
271	691	325
272	692	322
273	694	319
274	695	316
275	697	313
276	699	310
277	701	307
278	703	305
279	705	302
280	707	299
281	709	296
282	710	293
283	712	291
284	714	288
285	715	285
286	717	282
287	718	279
288	720	276
289	722	273
290	723	271
291	725	268
292	726	265
293	728	262
294	730	259
295	731	257
296	733	254
297	735	251
298	737	249
299	738	246
300	740	243
301	741	240
302	743	237
303	744	235
304	746	232
305	748	229
306	749	227
307	751	224
308	752	221
309	754	218
310	755	216
311	757	213
312	759	210
313	760	208
314	762	205
315	764	203
316	765	200
317	767	197
318	768	195
319	770	192
320	772	190
321	773	187
322	775	184
323	776	182
324	778	179
325	779	177
326	781	174
327	782	171
328	784	169
329	785	166
330	787	164
331	789	161
332	790	159
333	792	156
334	794	154
335	795	151
336	797	149
337	798	146
338	800	143
339	801	141
340	803	138
341	804	136
342	806	134
343	807	131
344	809	129
345	810	126
346	812	124
347	814	121
348	815	119
349	817	116
350	818	114
351	820	111
352	821	109
353	823	106
354	824	104
355	826	102
356	827	99
357	829	97
358	830	94
359	832	92
360	833	90
361	835	87
362	837	85
363	838	82
364	840	80
365	842	78
366	843	75
367	845	73
368	847	71
369	848	68
370	850	66
371	851	64
372	853	61
373	855	59
374	856	57
375	858	54
376	859	52
377	861	50
378	862	47
379	864	45
380	866	43
381	867	40
382	869	38
383	870	36
384	872	33
385	873	31
386	875	29
387	876	27
388	878	24
389	880	22
390	882	20
391	884	18
392	886	15
393	888	13
394	889	11
395	891	9
396	892	6
397	894	4
398	896	2
399	898	0
