feature,importance
comparable_frec,10.899383106304791
comparable_exp,10.299470786900834
shlta,7.6125526164937
agey,6.8956787899385175
comparable_tgiv,6.7145961940839145
comparable_ipubpen,6.618548003192047
child,3.755294723094104
adlfive,3.458181263258707
painfr,3.3693993685674593
hhres,2.7809923366805904
comparable_itearn,2.375614146919788
comparable_hexp,2.338109045938497
hlthlm,2.315761489739503
ftrkids,2.246456766534909
mstath,1.945473097719428
arthre,1.8698627909490826
rural,1.8299772494422022
ragender,1.7337543138863618
fall,1.5606367777215464
ftrsp,1.5421407091215473
socwk,1.5356456035984476
work,1.4339679589204377
hearte,1.3789881825019237
hibpe,1.2408519288918958
lvnear,1.2381911009504896
lunge,1.1998991527712362
peninc,1.1640543150815617
kcntf,1.0482068233615236
drinkev,0.9522477947532018
raeducl,0.9285220850381112
stroke,0.7403686526487658
pubpen,0.7379788949772162
smokev,0.6939857497663751
diabe,0.6796561453119125
livere,0.5284828798049173
stayhospital,0.49874890079193046
radadeducl,0.4958761460220193
momliv,0.47778995316659306
hipriv,0.284881869982755
dadliv,0.261889620390179
cancre,0.2387737991997036
ramomeducl,0.07910886558126469
cesd,0.0
