feature,importance
shlta,0.14469961934940356
painfr,0.08414337148284677
adlfive,0.07660870932879733
hlthlm,0.06229108031744292
arthre,0.039224188567183356
ftrkids,0.03308911809098595
mstath,0.02932933937385342
ragender,0.029037999681687902
peninc,0.028599679109814327
rural,0.02495728975178184
socwk,0.02386567896612477
fall,0.023833573260470274
hibpe,0.02300534630020139
ftrsp,0.022314353988519928
pubpen,0.021928490424010065
agey,0.021639025815068862
lvnear,0.021513948476479878
work,0.021058880828818086
drinkev,0.021000197826949257
lunge,0.018834760067089874
kcntf,0.018626177495167043
smokev,0.0181997313344615
hearte,0.018067165013297012
child,0.017704524039505218
stayhospital,0.01704629225298308
hhres,0.016588640734495605
raeducl,0.016211735716804048
comparable_frec,0.015511448953429055
comparable_exp,0.013326856299024217
diabe,0.012340287650636881
comparable_tgiv,0.011479678562118177
comparable_ipubpen,0.011197547330251068
stroke,0.008759554791482915
momliv,0.007256681320766384
livere,0.006662916824296907
comparable_itearn,0.004741272842187264
comparable_hexp,0.004234870834662965
radadeducl,0.003583645037643621
dadliv,0.0033023107317612706
cancre,0.0023923374207611447
hipriv,0.001354680084072009
ramomeducl,0.0004369937226629233
cesd,0.0
