feature,importance
shlta,0.17104600165069322
painfr,0.15097286122361558
adlfive,0.13925128232643919
hlthlm,0.10993319196234584
comparable_ipubpen,0.04208672388554571
peninc,0.041204089014456304
ftrkids,0.04095848626673275
comparable_exp,0.039725639597415104
ragender,0.03167369454124885
comparable_frec,0.030965931587055354
agey,0.028875648596449907
arthre,0.02827041032408316
fall,0.019231435741878463
comparable_tgiv,0.01756490807440955
ftrsp,0.013856055457261887
comparable_hexp,0.012506620675889047
rural,0.011543715795677067
hhres,0.007770184755670728
child,0.0070004644561485075
lunge,0.006699484177376038
raeducl,0.006377652142336935
mstath,0.006202304187957397
comparable_itearn,0.006119604913881905
pubpen,0.005207971403490912
work,0.0051609182684882095
stayhospital,0.004047305635274953
hearte,0.0034973623042142514
smokev,0.0025309144027496496
livere,0.002022103989395694
stroke,0.0017879431383031694
socwk,0.001223435523580536
dadliv,0.0011474015577557979
lvnear,0.0009733290454029604
radadeducl,0.0009675692252797349
diabe,0.0009158835444983942
kcntf,0.000510126920757602
hipriv,0.00017134368623958424
cancre,0.0
hibpe,0.0
momliv,0.0
drinkev,0.0
cesd,0.0
ramomeducl,0.0
