feature,importance
shlta,2.5504418965692683
adlfive,2.1460435173250287
ramomeducl,0.772337883094097
mstath,0.6694113266238886
painfr,0.5499608858201848
ftrkids,0.4568646682401477
hipriv,0.449739618580585
raeducl,0.4295342761677543
radadeducl,0.41564673935623164
ragender,0.41217917019352057
hlthlm,0.4003793821365835
peninc,0.3560803420585794
ftrsp,0.2995976482110984
fall,0.29601270671711544
arthre,0.24130197317298846
work,0.2293941347945249
lunge,0.22778053757134922
stayhospital,0.20429962368847443
rural,0.17765385073484719
pubpen,0.15549500512393402
agey,0.11967983989783253
hearte,0.10461994598305066
comparable_ipubpen,0.1008005293584381
comparable_frec,0.07666464773693797
lvnear,0.07581864614858654
cancre,0.07436033991321452
stroke,0.06888716556806672
drinkev,0.061004474424850685
comparable_hexp,0.04221402898432184
child,0.03999872443817957
momliv,0.038499414454998715
comparable_itearn,0.03535828546559746
hibpe,0.02503819388062241
hhres,0.02060813747499882
socwk,0.019328526201660663
kcntf,0.013913599395129001
diabe,0.009753247656527046
comparable_exp,0.00792999898095892
smokev,0.004679379845561969
livere,0.0031845696888302033
cesd,0.0024907432132578265
dadliv,0.0023241545307460393
comparable_tgiv,0.0005814178635544132
