feature,importance
shlta,0.13909011147916317
adlfive,0.10917904134839773
painfr,0.08739372342824936
mstath,0.05843531992286444
hlthlm,0.047668468207120895
raeducl,0.04248800780624151
peninc,0.04065651446580887
radadeducl,0.03156605362892151
pubpen,0.021434267982840538
ftrkids,0.020468328148126602
ragender,0.02005845680832863
arthre,0.018974393606185913
ramomeducl,0.017770633567124605
fall,0.0177458506077528
ftrsp,0.01530090719461441
rural,0.013771140947937965
lunge,0.0134436609223485
comparable_frec,0.013182203285396099
cancre,0.012568213976919651
comparable_ipubpen,0.012552020139992237
agey,0.012213168665766716
work,0.012184972874820232
diabe,0.011995979584753513
stayhospital,0.011985860764980316
comparable_tgiv,0.011897016316652298
stroke,0.01183018833398819
comparable_exp,0.011787825264036655
socwk,0.011661374941468239
kcntf,0.011606038548052311
hearte,0.01155681349337101
livere,0.011536285281181335
hhres,0.011311906389892101
smokev,0.01128570269793272
lvnear,0.011169064790010452
child,0.011088836006820202
momliv,0.010929909534752369
comparable_itearn,0.010917186737060547
comparable_hexp,0.010813009925186634
hibpe,0.010720768943428993
hipriv,0.009556779637932777
drinkev,0.00950351357460022
dadliv,0.008700460195541382
cesd,0.0
