feature,importance
shlta,0.2690763231232055
painfr,0.1305655161752897
comparable_ipubpen,0.0921381601634024
adlfive,0.08594565529227598
peninc,0.06941701814810922
comparable_hexp,0.06172359220404463
hlthlm,0.04406051442518711
ftrkids,0.04341844090408797
ragender,0.036391658423487336
fall,0.02685437538366035
raeducl,0.026758126640129106
comparable_frec,0.02651689751843165
arthre,0.023121655791152496
ftrsp,0.018406987568794955
rural,0.01792457539851025
lunge,0.014080291022596877
stayhospital,0.008832587309851703
comparable_tgiv,0.004767624507783049
ramomeducl,0.0
radadeducl,0.0
