feature,importance
shlta,2.436097578429912
adlfive,1.7031505651322791
painfr,0.5476348686010329
ftrkids,0.44434909439411696
hlthlm,0.42689033836470225
raeducl,0.38863884795185966
ragender,0.3872949973343203
peninc,0.3743260652597764
mstath,0.3598578269109399
hipriv,0.31562021039403415
radadeducl,0.3130020660608267
fall,0.2931986288420432
ftrsp,0.2819550709551804
stayhospital,0.24962695344959812
arthre,0.24099791937562115
ramomeducl,0.2391739029321334
lunge,0.23275253545255806
work,0.22000223635349642
rural,0.20969534625996386
agey,0.12394185742696999
