feature,importance
shlta,0.17145928220947898
painfr,0.12251854654345992
adlfive,0.09698788865441764
hlthlm,0.08653279629748684
comparable_ipubpen,0.042339635771596676
comparable_frec,0.040090555499736356
arthre,0.03932154467518059
comparable_tgiv,0.036274918409708375
comparable_exp,0.03594194443677993
peninc,0.034754027000704645
agey,0.03262337447745418
ftrkids,0.02570478864044738
ragender,0.02468688252195218
fall,0.01866682428175274
comparable_hexp,0.017204354387990194
child,0.015582269309944548
rural,0.014866408540730501
hhres,0.013803670401717058
pubpen,0.013421725902650585
raeducl,0.012594381928195909
mstath,0.010665393827548397
ftrsp,0.009750231514881165
lunge,0.00954407757125058
smokev,0.00856597715151334
stayhospital,0.008075014926225059
comparable_itearn,0.008035680891790504
hearte,0.007662815196782786
work,0.006453788906822626
socwk,0.006406470733357697
drinkev,0.00621325261776082
hibpe,0.005334091945794297
lvnear,0.005057409200263142
kcntf,0.004864369798560118
stroke,0.004132693728875865
diabe,0.0038629120971883355
