feature,importance
shlta,0.19323839619755745
adlfive,0.16077451966702938
painfr,0.11702955514192581
hlthlm,0.11702731996774673
mstath,0.051169773330911994
peninc,0.05062063783407211
raeducl,0.0419965460896492
arthre,0.03380979597568512
ftrkids,0.02902192622423172
ragender,0.02673625573515892
radadeducl,0.024352423381060362
fall,0.02252741903066635
ftrsp,0.020818371325731277
ramomeducl,0.019782157614827156
rural,0.017979037016630173
pubpen,0.017216170206665993
lunge,0.01592852920293808
stayhospital,0.014427369460463524
comparable_ipubpen,0.013521255925297737
comparable_frec,0.012022536247968674
