method,model,scenario,metric,value
mean_mode,lr,internal_train,Accuracy,0.697495183044316
mean_mode,lr,internal_val,Accuracy,0.6867219917012448
mean_mode,lr,internal_test,Accuracy,0.6791147994467497
mean_mode,lr,external_main,Accuracy,0.6737909798949465
mean_mode,lr,external_transfer,Accuracy,0.6737909798949465
mean_mode,rf,internal_train,Accuracy,0.8660145249740625
mean_mode,rf,internal_val,Accuracy,0.6977869986168741
mean_mode,rf,internal_test,Accuracy,0.6922544951590595
mean_mode,rf,external_main,Accuracy,0.6884622351023365
mean_mode,rf,external_transfer,Accuracy,0.6884622351023365
mean_mode,extra_trees,internal_train,Accuracy,0.9153697939825108
mean_mode,extra_trees,internal_val,Accuracy,0.6908713692946058
mean_mode,extra_trees,internal_test,Accuracy,0.681881051175657
mean_mode,extra_trees,external_main,Accuracy,0.6795870313349031
mean_mode,extra_trees,external_transfer,Accuracy,0.6795870313349031
mean_mode,gb,internal_train,Accuracy,0.7465540240106714
mean_mode,gb,internal_val,Accuracy,0.7033195020746889
mean_mode,gb,internal_test,Accuracy,0.7026279391424619
mean_mode,gb,external_main,Accuracy,0.7120086940771599
mean_mode,gb,external_transfer,Accuracy,0.7120086940771599
mean_mode,adaboost,internal_train,Accuracy,0.7099451608122128
mean_mode,adaboost,internal_val,Accuracy,0.7053941908713693
mean_mode,adaboost,internal_test,Accuracy,0.7081604426002767
mean_mode,adaboost,external_main,Accuracy,0.7071182756746967
mean_mode,adaboost,external_transfer,Accuracy,0.7071182756746967
mean_mode,lgb,internal_train,Accuracy,0.962057210612124
mean_mode,lgb,internal_val,Accuracy,0.6791147994467497
mean_mode,lgb,internal_test,Accuracy,0.6666666666666666
mean_mode,lgb,external_main,Accuracy,0.6719797138199601
mean_mode,lgb,external_transfer,Accuracy,0.6719797138199601
mean_mode,xgb,internal_train,Accuracy,0.8534163331851193
mean_mode,xgb,internal_val,Accuracy,0.6804979253112033
mean_mode,xgb,internal_test,Accuracy,0.6756569847856155
mean_mode,xgb,external_main,Accuracy,0.6536859264625974
mean_mode,xgb,external_transfer,Accuracy,0.6536859264625974
mean_mode,lr,internal_train,AUROC,0.7681316138896712
mean_mode,lr,internal_val,AUROC,0.742168124993663
mean_mode,lr,internal_test,AUROC,0.7574810654067262
mean_mode,lr,external_main,AUROC,0.651080610295111
mean_mode,lr,external_transfer,AUROC,0.651080610295111
mean_mode,rf,internal_train,AUROC,0.9505096448599244
mean_mode,rf,internal_val,AUROC,0.7386813209096715
mean_mode,rf,internal_test,AUROC,0.7543400014194608
mean_mode,rf,external_main,AUROC,0.6619561161400731
mean_mode,rf,external_transfer,AUROC,0.6619561161400731
mean_mode,extra_trees,internal_train,AUROC,0.9795968815151612
mean_mode,extra_trees,internal_val,AUROC,0.7350353344351053
mean_mode,extra_trees,internal_test,AUROC,0.7490190511918401
mean_mode,extra_trees,external_main,AUROC,0.6670911260800474
mean_mode,extra_trees,external_transfer,AUROC,0.6670911260800474
mean_mode,gb,internal_train,AUROC,0.8096827400671505
mean_mode,gb,internal_val,AUROC,0.7408490403431041
