method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,gb,5,internal_train,0.7634733436309202,0.6592804915094386,0.7133540832962798,0.6716981132075471,0.48463632827693504,0.5630366018978762,0.18875818580425785,0.8541666666666666,0.7291496320523303,0.7523606361102528,0.7750643428086997,0.6392819830889865,0.6780411103526629
mean_mode,gb,5,internal_val,0.7297184398097923,0.6115425459161765,0.690179806362379,0.6303797468354431,0.4519056261343013,0.5264270613107822,0.20090944018312193,0.8368715083798882,0.7126546146527117,0.7015791849483348,0.7517055147797091,0.5724540204094756,0.6549682087876283
mean_mode,gb,5,internal_test,0.72565776799927,0.6241592618109694,0.6964038727524204,0.6284403669724771,0.49727767695099817,0.5552178318135765,0.2008094873706268,0.8189944134078212,0.7257425742574257,0.6990084382513321,0.7574347336709094,0.5906046235000508,0.666739305988145
mean_mode,gb,5,external_main,0.6666595896624269,0.45904682802089225,0.7078427821046912,0.4850444624090542,0.38071065989847713,0.42659082829719164,0.19321060722297512,0.8385297845373891,0.7721755368814193,0.6479810226078633,0.6822168504635128,0.43554245408221254,0.48407805649670427
mean_mode,gb,5,external_transfer,0.6666595896624269,0.45904682802089225,0.7078427821046912,0.4850444624090542,0.38071065989847713,0.42659082829719164,0.19321060722297512,0.8385297845373891,0.7721755368814193,0.65058317052154,0.6814560147470395,0.438134936273648,0.48189971237347623
mean_mode,gb,10,internal_train,0.7944116031897186,0.7092344989311252,0.7315844078849859,0.6909547738693468,0.5348113574484636,0.6029379522034641,0.17738571734981962,0.8527298850574713,0.7485810384696238,0.7838623948064044,0.8070881459965964,0.6930887869226005,0.7262394621273256
mean_mode,gb,10,internal_val,0.737535613257764,0.6265269539541873,0.6922544951590595,0.6232558139534884,0.4863883847549909,0.54638124362895,0.1981520899545169,0.8189944134078212,0.7214566929133859,0.7103831255688529,0.7611193762525835,0.5864379679736537,0.6696214279819217
mean_mode,gb,10,internal_test,0.7425422543065427,0.6494744250975599,0.6964038727524204,0.6186440677966102,0.52994555353902,0.570869990224829,0.19524231354730787,0.7988826815642458,0.7340862422997947,0.7161959954028041,0.7636047809929933,0.6124026768112268,0.6838180805913366
mean_mode,gb,10,external_main,0.6360110143920532,0.43562811738485185,0.6716174606049629,0.42992312241277353,0.4612944162436548,0.4450566268748087,0.21610431113659115,0.755640050697085,0.7783289817232376,0.6216322034762477,0.652578771618172,0.4099517712751223,0.4612749093517043
mean_mode,gb,10,external_transfer,0.6360110143920532,0.43562811738485185,0.6716174606049629,0.42992312241277353,0.4612944162436548,0.4450566268748087,0.21610431113659115,0.755640050697085,0.7783289817232376,0.6219840302502262,0.6518417996099024,0.4128817754582503,0.4633922349833602
