k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.660295747192708,0.3031016381022325,0.7207704194233451
7,0.6629654888394695,0.3112099053174012,0.7244766124947591
8,0.6795635724679461,0.34327973154782043,0.7300265919197036
9,0.6823776185377372,0.346729005784025,0.7318897768814729
10,0.6810438459215331,0.3429126298543622,0.7366567112088526
11,0.6780801142135464,0.33633038794451287,0.7389737998437096
12,0.6806012684292893,0.3418425518735223,0.7387695825741064
13,0.6820828597314883,0.34305399510337287,0.7398314747041654
14,0.6832684841995443,0.34450931104246013,0.7405852505758814
15,0.6877166625483897,0.35319536420466296,0.7395458465453607
16,0.6838627241029019,0.34457227425866854,0.7400145130687685
17,0.6889012986299865,0.35373959143345673,0.741617163095633
18,0.6874189385827636,0.3509676864669712,0.7441493325972559
19,0.6891975949262829,0.35504759450508716,0.7453308094081575
20,0.6875669769101941,0.3511789326612412,0.7470009709618896
21,0.6911245092386678,0.3576521823542705,0.7484560055689745
22,0.6893458528951487,0.35415674135804753,0.7448031694417441
23,0.6921614364549873,0.3587539514646244,0.7458320880112136
24,0.6902357301704967,0.3551182414004906,0.7458818333951925
25,0.6878644812343848,0.3486735171997009,0.7447862751598855
26,0.6877160036240837,0.3481533515894994,0.7460960533781014
27,0.6918662383658678,0.35627128083832094,0.7473814570601081
28,0.6937919446503583,0.36152253840836435,0.7483510552778222
29,0.6921620953792933,0.35694001133769815,0.7489688536456724
30,0.6927554567169096,0.3581194705725149,0.7490022446997917
31,0.691272657386816,0.35536087410209866,0.7496634290573144
32,0.6943854158086923,0.36101678485998034,0.7502619066334132
33,0.6912717788210745,0.3536895932606868,0.7481270619029953
34,0.6920138374104275,0.355627124143319,0.7487745006917086
35,0.6933471707437608,0.3589204408008901,0.7485841628059198
36,0.6918652499794087,0.3549442128989876,0.7489182404161745
37,0.6915682947588062,0.35483918739292,0.748956903095721
38,0.6918654696208439,0.35604718058171264,0.7493178293943281
39,0.693495318891909,0.36018545634391036,0.7497498273452096
40,0.6911240699557972,0.354715078038852,0.7499030541470111
41,0.6933476100266316,0.3596952517857299,0.7504669673215659
42,0.6924581720341543,0.35844829984938886,0.7509063481604008
