k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.6960137275897098,0.3222797092506868,0.7462374663007317
7,0.7000165829283694,0.3314838202385505,0.7450729394996195
8,0.7007574334898279,0.33292313632501325,0.7480303604961238
9,0.7025356505504763,0.33891466038141127,0.7514449681759563
10,0.7062413310270983,0.34749314038714535,0.7555651801591471
11,0.7026848969058014,0.33977541471016187,0.7550151129087025
12,0.7052039645279082,0.3465834546107465,0.7574612888323482
13,0.7059455838343903,0.34680475126101706,0.7556406728904971
14,0.7013504653652911,0.3376709745417514,0.7559279184229337
15,0.7065394942755951,0.34882341093533153,0.7579246500904134
16,0.70579754550696,0.34660755968509954,0.7583745304916696
17,0.7052040743486259,0.3460356213287581,0.7590321643631761
18,0.7063898086373994,0.34886203895522155,0.7592456738566387
19,0.7086129094253631,0.3537155178003106,0.7597269411342874
20,0.705648628613788,0.3476650793899764,0.7594503575267455
21,0.70891107267386,0.35449090153596235,0.7600830416541832
22,0.7090595502841611,0.3561874339615014,0.7603312099753888
23,0.7096514839524477,0.35695459684299535,0.7592545105132152
24,0.7065371880405239,0.34966527663204705,0.7599609497700797
25,0.7086131290667985,0.3547599114400489,0.7587422827739564
26,0.7095027867007111,0.35631541961850055,0.7593339686735581
27,0.7084652005600857,0.3551490336886357,0.7588992177203633
28,0.7083165033083492,0.35439131582879496,0.7590932957422565
29,0.7105394942755952,0.3592708188064363,0.7598722372653492
30,0.708612250501057,0.35503890727402637,0.7595616518769576
31,0.7093544189111276,0.3563140539742265,0.7597412046211975
32,0.7095020179556873,0.3565054298578872,0.7597898030567591
33,0.708908656618071,0.3549261539672136,0.7593032281320612
34,0.7080196579084644,0.35284329191774333,0.7595383168774974
35,0.7080202070120529,0.35288141381433047,0.7587445440715537
36,0.7089087664387888,0.35450075759097555,0.7587886485605883
37,0.7090572440490899,0.3546957083085416,0.7595636182250003
38,0.7078716195810341,0.35266972718304296,0.759531645715573
39,0.7065375175026769,0.3497735724425034,0.7592399791397784
40,0.7071305493781403,0.35097563363369744,0.7588461138827041
41,0.7068339236196909,0.35021416311045106,0.7583018224348395
42,0.7086130192460808,0.35421026586260246,0.7592078847179261
