k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.667560168025698,0.3309654347715377,0.7399116371190892
7,0.6626668863081021,0.3295250637855819,0.7403233588328699
8,0.6902344123218845,0.3587073604296213,0.7466060755563524
9,0.6900862641737364,0.3580646703016415,0.7467984776160375
10,0.6903825604700327,0.35876588872244247,0.7466243836979597
11,0.6865284023831096,0.3604300883924518,0.7508427933220254
12,0.6921620953792933,0.3657592952309867,0.7537454769239723
13,0.6923085962166763,0.36854566713582526,0.7559680352223251
14,0.690382450649315,0.36353658753666157,0.756892358251003
15,0.6891961672569531,0.36524303821566917,0.7583325454233586
16,0.6908265656316064,0.36510919975699807,0.7601601721614237
17,0.6931983636713065,0.3713316882162986,0.7604512271278329
18,0.696459599703484,0.37712264172962495,0.7612436908447672
19,0.6952739752354282,0.37494274327178134,0.7612781393825878
20,0.6958675562144799,0.3749785879228038,0.7620221602287477
21,0.6929023968371634,0.3691042226076429,0.7619633887605264
22,0.6946817121049885,0.373138332362757,0.7617921978419513
23,0.6939406419020948,0.3716756349690263,0.7616016486374685
24,0.6948302995360074,0.3733006152612882,0.7620866698798402
25,0.694089119512396,0.37200119846563817,0.7624426728487985
26,0.6937927133953821,0.37164576733461796,0.7623405381440234
27,0.6946820415671418,0.37340463217318537,0.7622572803914975
28,0.6942373774812618,0.3723396787804168,0.762184142693947
29,0.6930514235510529,0.369809820152057,0.7620423608827861
30,0.6958674463937622,0.3754504969319431,0.7619902392304235
31,0.6943847568843863,0.37249739964598655,0.7618648750594416
32,0.6937921642917937,0.3713620896550068,0.7616423502153813
33,0.69260643000302,0.36848919589339924,0.7614430126421929
34,0.6926065398237379,0.3686784391892648,0.7613106646113904
35,0.6927549076133213,0.36920685834621303,0.7612553229436019
36,0.6931996815199186,0.36989895512036525,0.7611598540366351
37,0.6918657990829971,0.3673893344244922,0.7609246979788982
38,0.6927547977926036,0.3693049005181293,0.760558115715275
39,0.6936439063229278,0.3710223596667858,0.760441605634248
40,0.6939404222606596,0.37154327916559227,0.7601792704754738
41,0.6942370480191088,0.3723343815957694,0.7601042908457761
42,0.6940886802295253,0.37188253516698433,0.7595166944447117
