k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.6684432364165499,0.2983655252326758,0.6974770192486911
7,0.67733585920984,0.32367600354323545,0.7224659875569406
8,0.6863801444142438,0.34165534632502165,0.7326864183207485
9,0.6890477994673695,0.348640619699467,0.7370008440241232
10,0.6906799549735058,0.35060769797421765,0.7395018039677107
11,0.6927546879718859,0.353535497060515,0.7396480319040195
12,0.6954220135628587,0.3602403645757442,0.7432742708215707
13,0.6983866238365868,0.3655791398776066,0.7467384626788566
14,0.7004613568349669,0.3697315390645542,0.7498101656798373
15,0.6997196277077671,0.37072954621226817,0.7522778254995207
16,0.7004619059385553,0.3698961442693687,0.7511175264717656
17,0.6960158141833457,0.36074265431344993,0.751957015178262
18,0.6983867336573045,0.3666519269373307,0.7536508072535708
19,0.6979421793921423,0.36464878990172095,0.7549683323446932
20,0.699572467946078,0.3672309208212023,0.7559827215046462
21,0.7007578727726985,0.3702128567740735,0.7570412258753724
22,0.7009054718172584,0.36970421831155553,0.7560168690680223
23,0.7013516733931856,0.36958205994311755,0.7560602067882238
24,0.7016473107651758,0.371188439092593,0.7572207901249708
25,0.6988313977431841,0.3655382589544406,0.7568203220995384
26,0.7014989429755923,0.37029065141153683,0.757070390194106
27,0.7001641819729292,0.36775968557081407,0.7568230127591515
28,0.697644565247234,0.36281800935463765,0.7568133838433656
29,0.7019432775993191,0.3714436742058965,0.757972030293581
30,0.7020907668231612,0.3719664318136528,0.7573753856185179
31,0.6998689838838097,0.3674411245869122,0.7568611324453014
32,0.6986840183400599,0.3660953804524548,0.7582652536428874
33,0.69942431979793,0.366155516633979,0.7569025233202876
34,0.6974968563819564,0.36370561432974413,0.7572880305447853
35,0.6995722483046427,0.3672534285198673,0.7567088671321391
36,0.6997205062735085,0.366956056503778,0.7568303140261643
37,0.6970534003239711,0.36199696006946913,0.7573616870928794
38,0.6992762814704994,0.36689264772863267,0.7564610279036951
39,0.6982386953298739,0.36547916319745033,0.7576028277240433
40,0.6989798753534855,0.3668399445985733,0.7572149537509534
41,0.69794228921286,0.3647081577634047,0.7567433043513061
42,0.6988320566674903,0.3675004924078916,0.7577201315774024
