k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.6660746231776624,0.31426747484290707,0.7230627863935265
7,0.6680018669522004,0.31672397263159663,0.7225525494498445
8,0.6608891085303241,0.31525129897765336,0.7290054363387604
9,0.6589634022458336,0.3147853302507203,0.7279536547444262
10,0.6677046920901628,0.32082519597492487,0.7260983676084658
11,0.6684465310380803,0.32142285211659366,0.7264806702415372
12,0.6737823902479202,0.33036136674922356,0.7248993290057548
13,0.6740784669027813,0.3283815866510257,0.7242087332310874
14,0.6722999203799798,0.3247095618198047,0.7259939474930046
15,0.6733378359827581,0.32677931735278876,0.7250853400140798
16,0.6801537490047498,0.338950888285017,0.7319404273946104
17,0.6774875216209537,0.333294218432951,0.7321371755731998
18,0.6777827197100734,0.333420335745591,0.7319334239356331
19,0.6774874118002361,0.33290412857024954,0.7313837901785265
20,0.678523130988661,0.3326150039662571,0.7323243467524458
21,0.6813404716799824,0.3363578934045332,0.7381613788549063
22,0.6811928726354226,0.3349005088612187,0.7370711640317535
23,0.6865279631002388,0.34425839733892044,0.7395361922891037
24,0.6851944101254702,0.3396540570803529,0.7385174860999709
25,0.6896398429563738,0.3490013970030534,0.742724182541647
26,0.6940854954287128,0.35767362574303085,0.7428481089476023
27,0.6917143563133186,0.35321738366600536,0.7420443408305306
28,0.6914191582241991,0.3511467751260433,0.7407101055102753
29,0.6890472503637811,0.3469731321583469,0.7433196584411228
30,0.6888992120363506,0.3469730666480776,0.7423161724441026
31,0.6893427779150537,0.3486502467734069,0.7408563320362846
32,0.689343656480795,0.34684269457396816,0.7424144935825008
33,0.6874161930648216,0.3440524371590466,0.741190055267424
34,0.6897896384152871,0.3471565009415127,0.7422206257455424
35,0.6881592400406337,0.34361723508445297,0.7404646035732421
36,0.689491914449661,0.34679714190608824,0.7415202420219178
37,0.6866772094555638,0.342175197291963,0.7384035614786666
38,0.6863805836971145,0.3408222139368061,0.7377149944228829
39,0.6897893089531341,0.34797869297182354,0.7405403291879866
40,0.6888995414985037,0.34322535876668303,0.7394808384892773
41,0.6840086758366967,0.3339474572165297,0.7377048460147213
42,0.6893465118194547,0.3471281302535482,0.7381618333761
