feature_model_space,feature,importance
mul__shlta,shlta,0.16295884622831272
num__comparable_ipubpen,comparable_ipubpen,0.14089982611315813
num__comparable_hexp,comparable_hexp,0.13317026501826393
bin__peninc,peninc,0.09675022417188642
bin__painfr,painfr,0.09355871307668723
mul__adlfive,adlfive,0.08486729550386315
bin__ftrkids,ftrkids,0.04092863353349655
num__comparable_frec,comparable_frec,0.038619573957857485
bin__ragender,ragender,0.034620889948518356
bin__hlthlm,hlthlm,0.0326130335560621
mul__raeducl,raeducl,0.026584040944923195
bin__fall,fall,0.026567609990692603
bin__arthre,arthre,0.022807230095306507
bin__ftrsp,ftrsp,0.020655007900973025
bin__rural,rural,0.015242548636398442
bin__lunge,lunge,0.013248319459446097
bin__stayhospital,stayhospital,0.005550458625495926
num__comparable_tgiv,comparable_tgiv,0.00546002856033963
mul__radadeducl,radadeducl,0.004897454678318489
mul__ramomeducl,ramomeducl,0.0
