feature,importance
shlta,0.10802764871861356
comparable_frec,0.07558109165084988
painfr,0.0713913823354716
comparable_exp,0.07005479061317119
comparable_tgiv,0.06268195146837573
comparable_ipubpen,0.06022815546590273
agey,0.05997792045044277
adlfive,0.051724528893201824
hlthlm,0.04733116633118795
arthre,0.029855177125571834
child,0.029593594512022266
hhres,0.02529409688505373
ftrkids,0.024686047797084328
ragender,0.021372021291489837
peninc,0.020414525387989498
rural,0.016390762064195295
comparable_hexp,0.0163896254940508
fall,0.01637760981430876
ftrsp,0.0142697414784924
socwk,0.013965326625531776
hibpe,0.013689415747626653
work,0.012865552867975095
lvnear,0.012592954263254045
drinkev,0.012184692630090376
mstath,0.011870009400038777
lunge,0.011735696970120377
smokev,0.011468951579061876
pubpen,0.011113279117448922
hearte,0.010951098014021866
comparable_itearn,0.010939963194075008
kcntf,0.010748605860631706
stayhospital,0.00863711078147334
raeducl,0.006678149645583174
diabe,0.005806269635183468
stroke,0.004053427336981788
momliv,0.0030621813367156503
livere,0.002927877585639069
dadliv,0.0009944044805139805
cancre,0.000938229246853053
radadeducl,0.0007851626804541342
hipriv,0.00031037798352409997
ramomeducl,3.9425239725707787e-05
