Dataset,GroupVar,GroupLevel,N,Events,Model,AUC,Brier,Accuracy,Sensitivity,Specificity,Precision,NPV,F1,Threshold
Training set,ADL,Limited,1501,912,ADABOOST,0.7033,0.2090,0.6742,0.8575,0.3905,0.6854,0.6389,0.7618,0.5000
Training set,ADL,Limited,1501,912,EXTRA_TREES,0.8700,0.1597,0.7861,0.9145,0.5874,0.7744,0.8160,0.8386,0.5000
Training set,ADL,Limited,1501,912,GB,0.7326,0.2001,0.6935,0.8048,0.5212,0.7224,0.6330,0.7614,0.5000
Training set,ADL,Limited,1501,912,LGB,0.9024,0.1497,0.8368,0.8717,0.7827,0.8613,0.7976,0.8665,0.5000
Training set,ADL,Limited,1501,912,LR,0.7063,0.2115,0.6722,0.8311,0.4261,0.6916,0.6198,0.7550,0.5000
Training set,ADL,Limited,1501,912,RF,0.9189,0.1455,0.8281,0.9583,0.6265,0.7989,0.9066,0.8714,0.5000
Training set,ADL,Limited,1501,912,XGB,0.7486,0.1962,0.7042,0.8114,0.5382,0.7312,0.6483,0.7692,0.5000
Training set,ADL,Not limited,5246,1659,ADABOOST,0.7430,0.1820,0.7280,0.3984,0.8804,0.6064,0.7599,0.4809,0.5000
Training set,ADL,Not limited,5246,1659,EXTRA_TREES,0.8360,0.1540,0.7861,0.4714,0.9317,0.7614,0.7921,0.5823,0.5000
Training set,ADL,Not limited,5246,1659,GB,0.7645,0.1756,0.7383,0.3261,0.9289,0.6796,0.7488,0.4407,0.5000
Training set,ADL,Not limited,5246,1659,LGB,0.9204,0.1330,0.8178,0.4696,0.9788,0.9111,0.7996,0.6197,0.5000
Training set,ADL,Not limited,5246,1659,LR,0.7404,0.1828,0.7244,0.3761,0.8854,0.6029,0.7542,0.4633,0.5000
Training set,ADL,Not limited,5246,1659,RF,0.8885,0.1392,0.8161,0.5316,0.9476,0.8243,0.8139,0.6464,0.5000
Training set,ADL,Not limited,5246,1659,XGB,0.7766,0.1724,0.7451,0.3369,0.9339,0.7023,0.7528,0.4554,0.5000
Training set,ActivityLimit,0.0,3762,1030,ADABOOST,0.7325,0.1718,0.7485,0.2951,0.9195,0.5802,0.7758,0.3912,0.5000
Training set,ActivityLimit,0.0,3762,1030,EXTRA_TREES,0.8365,0.1457,0.7982,0.3340,0.9733,0.8249,0.7949,0.4755,0.5000
Training set,ActivityLimit,0.0,3762,1030,GB,0.7570,0.1660,0.7576,0.2359,0.9542,0.6603,0.7681,0.3476,0.5000
Training set,ActivityLimit,0.0,3762,1030,LGB,0.9247,0.1247,0.8254,0.3913,0.9890,0.9307,0.8117,0.5509,0.5000
Training set,ActivityLimit,0.0,3762,1030,LR,0.7305,0.1727,0.7483,0.2660,0.9301,0.5892,0.7707,0.3666,0.5000
Training set,ActivityLimit,0.0,3762,1030,RF,0.8899,0.1321,0.8230,0.4194,0.9751,0.8640,0.8167,0.5647,0.5000
Training set,ActivityLimit,0.0,3762,1030,XGB,0.7709,0.1627,0.7634,0.2437,0.9594,0.6934,0.7709,0.3606,0.5000
