Model,Split,Threshold,Accuracy,F1,NPV,Precision,Sensitivity,Specificity,AUROC,Brier
LR,Train,0.40540540540540543,0.7040165999703571,0.6086615716245346,0.7584816132858837,0.613349131121643,0.604045118630883,0.7655651340996169,0.7650411270120158,0.18910479747175504
LR,Test,0.40540540540540543,0.7081604426002767,0.6336805555555556,0.7798816568047338,0.6073211314475874,0.662431941923775,0.7363128491620111,0.7555070009834837,0.19214656034533573
RF,Train,0.3812949640287693,0.8299985178597895,0.7938162861765234,0.9033288948069241,0.7379679144385026,0.8588098016336057,0.8122605363984674,0.9268109912209719,0.12657333146048833
RF,Test,0.3812949640287693,0.6811894882434302,0.6261151662611517,0.7840314136125655,0.5659824046920822,0.7005444646098004,0.6692737430167598,0.7482626813614658,0.19439952948510952
EXTRA_TREES,Train,0.3817204301075269,0.7195790721802282,0.6779026217228464,0.8315911730545877,0.6027853466545564,0.7744068455853753,0.685823754789272,0.8057982324959652,0.17294266966570457
EXTRA_TREES,Test,0.3817204301075269,0.6639004149377593,0.6284403669724771,0.7968069666182874,0.5429326287978864,0.7459165154264973,0.6134078212290502,0.7444372344847864,0.1951255675951989
GB,Train,0.4146341463414634,0.7118719430858159,0.6471869328493648,0.7930672268907563,0.6066689350119088,0.6935044729677169,0.7231800766283525,0.7790722876439389,0.18289383618720637
GB,Test,0.4146341463414634,0.6846473029045643,0.6292682926829268,0.7861799217731421,0.5699558173784978,0.7023593466424682,0.6737430167597765,0.7510701720589279,0.1921628441580798
ADABOOST,Train,0.39344262295081966,0.7108344449384911,0.6101898101898102,0.7579411082773012,0.6273623664749384,0.5939323220536756,0.7828065134099617,0.7650772654318504,0.1890201972057662
ADABOOST,Test,0.39344262295081966,0.7033195020746889,0.6131650135256989,0.7623873873873874,0.6093189964157706,0.617059891107078,0.7564245810055866,0.7487757150533819,0.19474988741379043
LGB,Train,0.39344262295081966,0.8474877723432637,0.7905556686342357,0.8572077185017026,0.829205807002562,0.7553481135744846,0.9042145593869731,0.9317149189083663,0.12983822312938204
LGB,Test,0.39344262295081966,0.690179806362379,0.5851851851851851,0.7437295528898582,0.5973534971644613,0.573502722323049,0.7620111731843575,0.737680601040262,0.19646968789999644
XGB,Train,0.4159291982650757,0.7354379724321921,0.6680305002789659,0.8033494037046435,0.6400570206699929,0.6985608712563205,0.7581417624521073,0.8066300681339611,0.17461248862676074
XGB,Test,0.4159291982650757,0.6867219917012448,0.6177215189873417,0.7721674876847291,0.5772870662460567,0.6642468239564429,0.7005586592178771,0.7468117896359083,0.1943522982463009
CATBOOST,Train,0.45,0.7364754705795168,0.6623623243448538,0.7959032576505429,0.6471243042671614,0.6783352781019059,0.7722701149425287,0.7990430956244944,0.17571848673440088
CATBOOST,Test,0.45,0.6950207468879668,0.6201550387596899,0.7715311004784688,0.5901639344262295,0.6533575317604355,0.7206703910614525,0.7504405398006672,0.19291787255388362
