feature,mean_abs_shap
bin__painfr,0.04758175724214609
bin__hlthlm,0.03383925765182063
mul__shlta=4.0,0.029828154645150904
mul__adlfive=0.0,0.026642845570214256
bin__peninc,0.020070218046065933
bin__arthre,0.018440720786911106
bin__ragender,0.017371822724969024
bin__ftrkids,0.016447413735196398
mul__shlta=1.0,0.011015116099518411
mul__shlta=2.0,0.01017352595482114
num__comparable_ipubpen,0.010043970976622338
mul__shlta=5.0,0.009613787819084152
bin__fall,0.009484848170773958
bin__rural,0.009439173538268564
num__comparable_frec,0.008988948332102367
num__comparable_tgiv,0.008420880320330185
mul__shlta=3.0,0.007754016802053369
bin__pubpen,0.0071128306339415005
bin__ftrsp,0.00621233147149479
bin__lunge,0.005060500516722146
num__agey,0.004704657111339297
bin__smokev,0.0043894222977653805
bin__stayhospital,0.004256381302074333
num__comparable_hexp,0.003805515391138096
bin__hearte,0.0033542069071096736
mul__raeducl=1,0.003203729891523079
num__comparable_exp,0.00263522891923182
bin__work,0.0025500219343692642
mul__mstath=1,0.001947354820931579
num__comparable_itearn,0.0019006944858500235
num__child,0.001622943088504179
bin__socwk,0.0016229007987414096
mul__raeducl=2,0.0015933431243110017
mul__mstath=7,0.001580803953844619
num__hhres,0.0013309051811057552
bin__drinkev,0.0012432935489577895
mul__adlfive=4.0,0.0010697291703131203
bin__hibpe,0.0009362885273195033
mul__adlfive=2.0,0.0009232240653194905
bin__stroke,0.0007125763820880628
bin__lvnear,0.0007043947829655487
bin__kcntf,0.0006204189948321922
mul__adlfive=3.0,0.0005767882877418229
bin__diabe,0.0005229891093157082
mul__adlfive=1.0,0.0004294484066644799
bin__livere,0.00041938540238865146
mul__adlfive=5.0,0.00025319267554397776
mul__radadeducl=1.0,0.00014348196934241085
bin__momliv,0.00013919335597644927
mul__mstath=2,9.042354383608346e-05
bin__cancre,8.496941067505228e-05
bin__dadliv,8.449605661525757e-05
mul__raeducl=3,6.39936817334179e-05
mul__radadeducl=2.0,3.446115597399523e-05
mul__mstath=5,3.340548155167509e-05
mul__radadeducl=3.0,6.255079080783492e-06
mul__mstath=8,2.280209010271245e-06
mul__mstath=4,0.0
