model,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,Calib_Slope,Calib_Intercept
lr,internal_train,0.7650411270120158,0.6424304432452063,0.7129094412331407,0.6488262910798122,0.5375340334500195,0.5879600085088279,0.18910479745989792,0.8208812260536399,0.7424734676196665,0.9785123631038458,-0.004970452867243848
lr,internal_val,0.7505287491508583,0.6351703386312073,0.7095435684647303,0.6414686825053996,0.5390199637023594,0.5857988165680473,0.1914422858822742,0.8145251396648044,0.7416073245167853,0.9952035013662032,-0.0020113784646542355
lr,internal_test,0.7555070009834837,0.6358667231737044,0.7095435684647303,0.6281800391389433,0.5825771324863884,0.6045197740112994,0.19214656033150446,0.7877094972067039,0.7540106951871658,0.9102020100326782,-0.11537208547229054
lr,external_main,0.646768623780021,0.43459904245169356,0.7129143271146532,0.49556650246305417,0.31916243654822335,0.3882670783481281,0.19589632041029514,0.8702154626108999,0.761873058144696,0.36595732611736237,-0.5912560923816048
lr,external_transfer,0.646768623780021,0.43459904245169356,0.7129143271146532,0.49556650246305417,0.31916243654822335,0.3882670783481281,0.19589632041029514,0.8702154626108999,0.761873058144696,0.36595732611736237,-0.5912560923816048
rf,internal_train,0.9268109912209719,0.8741048186284786,0.8433377797539647,0.855733082706767,0.7082847141190198,0.7750585230900191,0.12657333146048833,0.9264846743295019,0.8376271920329076,2.511176500722157,0.5261392212331368
rf,internal_val,0.7456488456741932,0.617535493502237,0.7102351313969572,0.65,0.5190562613430127,0.5771947527749748,0.19368576126782155,0.8279329608938547,0.7365805168986084,0.9951966345642301,-0.0019363839400577778
rf,internal_test,0.7482626813614658,0.6287365121855599,0.6970954356846473,0.6184486373165619,0.5353901996370236,0.5739299610894941,0.19439952947127842,0.7966480446927374,0.7358101135190919,0.9144134444197122,-0.0828945378474521
rf,external_main,0.6606795210798221,0.44049072596005123,0.7174424923021192,0.5080321285140562,0.3210659898477157,0.39346811819595645,0.19201815121384827,0.8757921419518377,0.7635359116022099,0.7543636688060027,-0.37389390755130786
rf,external_transfer,0.6606795210798221,0.44049072596005123,0.7174424923021192,0.5080321285140562,0.3210659898477157,0.39346811819595645,0.19201815121384827,0.8757921419518377,0.7635359116022099,0.7543636688059989,-0.37389390755131147
extra_trees,internal_train,0.8057982324959652,0.7010892059883861,0.7501111605157847,0.714078374455733,0.574095682613769,0.6364812419146184,0.17294266966570457,0.8584770114942529,0.7660256410256411,1.291110737116785,0.11514343590269187
extra_trees,internal_val,0.7499974652485576,0.6178231260447378,0.7157676348547718,0.6583710407239819,0.5281306715063521,0.5861027190332326,0.19072364005973402,0.8312849162011173,0.7410358565737052,0.9952559350861493,-0.0018860266568157093
extra_trees,internal_test,0.7444372344847864,0.6179812630996748,0.7047026279391425,0.6341991341991342,0.5317604355716878,0.5784797630799605,0.19512556759519895,0.8111731843575419,0.7378048780487805,0.9629841938297644,-0.06260808291173339
extra_trees,external_main,0.6640553325226947,0.4421381208030083,0.7071182756746967,0.483454398708636,0.3800761421319797,0.4255772646536412,0.19636073772314078,0.8377693282636248,0.7718355908453993,0.5999311658649602,-0.5236978159998432
extra_trees,external_transfer,0.6640553325226947,0.4421381208030083,0.7071182756746967,0.483454398708636,0.3800761421319797,0.4255772646536412,0.19636073772314083,0.8377693282636248,0.7718355908453993,0.59993116586496,-0.5236978159998433
gb,internal_train,0.7790722876439389,0.6628785106236509,0.7272862012746406,0.6723243752946724,0.5546479968883703,0.6078431372549019,0.1828938361812778,0.8335727969348659,0.7524859489840034,1.1453799016990625,0.06776823040518298
gb,internal_val,0.7475296312443601,0.6216638822757018,0.7102351313969572,0.6441048034934498,0.5353901996370236,0.5847373637264618,0.19290776763896725,0.8178770949720671,0.7408906882591093,0.9952094526805623,-0.0019459331277465255
gb,internal_test,0.7510701720589279,0.6360589848660678,0.706777316735823,0.626746506986028,0.5698729582577132,0.596958174904943,0.1921628441580798,0.7910614525139665,0.7492063492063492,1.0172451232137845,-0.06239513448568004
gb,external_main,0.6464826484723323,0.42644763884470865,0.7072994022821952,0.4810964083175803,0.3229695431472081,0.38648443432042523,0.1963320061984123,0.8608365019011407,0.7609231458660094,0.5500009699189266,-0.5117233447357682
gb,external_transfer,0.6464826484723323,0.42644763884470865,0.7072994022821952,0.4810964083175803,0.3229695431472081,0.38648443432042523,0.1963320061984123,0.8608365019011407,0.7609231458660094,0.5500009699189266,-0.5117233447357682
adaboost,internal_train,0.7650772654318504,0.6410204115498038,0.7148362235067437,0.6559036144578313,0.529366005445352,0.5858803271631511,0.18902019719390903,0.8290229885057471,0.7410102739726028,1.0000621340077902,-0.007611912981952343
adaboost,internal_val,0.7466657879528333,0.6185472689229361,0.7123098201936376,0.6496674057649667,0.5317604355716878,0.5848303393213573,0.1930349811829384,0.823463687150838,0.7407035175879397,0.9952204761972108,-0.001911970842576661
adaboost,internal_test,0.7487757150533819,0.6289291957967782,0.7053941908713693,0.6278118609406953,0.5571687840290381,0.5903846153846154,0.19474988739995916,0.7966480446927374,0.7450365726227796,0.893482860962364,-0.11564113737381247
adaboost,external_main,0.6540114550964081,0.4429173799036646,0.7047636297772143,0.4780130293159609,0.37246192893401014,0.4186875891583452,0.19854874912569861,0.8375158428390368,0.7696249708828325,0.5771948160795597,-0.5586718161307651
adaboost,external_transfer,0.6540114550964081,0.4429173799036646,0.7047636297772143,0.4780130293159609,0.37246192893401014,0.4186875891583452,0.19854874912569861,0.8375158428390368,0.7696249708828325,0.5771948160795597,-0.5586718161307651
lgb,internal_train,0.9317149189083663,0.8786928884048852,0.8190306803023566,0.9141104294478528,0.5795410346168806,0.7093549154963104,0.12983822312938204,0.9664750957854407,0.7887434043384796,2.830530961363178,0.6698901208908379
lgb,internal_val,0.74663739873668,0.6326039934968911,0.706777316735823,0.6990595611285266,0.4047186932849365,0.5126436781609195,0.19216068929060362,0.8927374301675978,0.7089618456078084,0.9950836168545034,-0.0020562107418954784
lgb,internal_test,0.737680601040262,0.6252155211521688,0.6957123098201936,0.6590257879656161,0.41742286751361163,0.5111111111111111,0.1964696878861652,0.8670391061452514,0.707383773928897,0.8672855281485671,-0.10386892940848512
lgb,external_main,0.6420398982198118,0.4342483731143827,0.7284912153595363,0.5575485799701047,0.2366751269035533,0.3322939866369711,0.1980529272680117,0.9249683143219265,0.7520610057708161,0.36406730391485115,-0.5803058465103459
lgb,external_transfer,0.6420398982198118,0.4342483731143827,0.7284912153595363,0.5575485799701047,0.2366751269035533,0.3322939866369711,0.1980529272680117,0.9249683143219265,0.7520610057708161,0.36406730391485115,-0.5803058465103459
xgb,internal_train,0.8061924020648822,0.694448916946374,0.7398843930635838,0.7254143646408839,0.5106962271489692,0.599406528189911,0.17423298004374785,0.8809865900383141,0.7451893862669637,1.2997004351176893,0.1266990953623636
xgb,internal_val,0.7493323464701052,0.6270461039244285,0.710926694329184,0.670076726342711,0.47549909255898365,0.5562632696390658,0.19214181748172296,0.8558659217877095,0.7260663507109004,0.9951828670064599,-0.0019584460104540456
xgb,internal_test,0.7457725415445762,0.625310824019889,0.7033195020746889,0.6431924882629108,0.49727767695099817,0.5609007164790174,0.1945566291032861,0.8301675977653631,0.7284313725490196,0.9031569564615467,-0.10605756426045035
xgb,external_main,0.6501847258947585,0.4312151576983208,0.721608404274588,0.5254237288135594,0.25571065989847713,0.3440034144259496,0.19505465516003004,0.9077313054499366,0.7532604122843921,0.5581296312972945,-0.4385010852471863
xgb,external_transfer,0.6501847258947585,0.4312151576983208,0.721608404274588,0.5254237288135594,0.25571065989847713,0.3440034144259496,0.19505465516003004,0.9077313054499366,0.7532604122843921,0.5581296312972945,-0.4385010852471863
catboost,internal_train,0.7990430956244944,0.6824724389127057,0.7381058248110272,0.7206366630076838,0.5106962271489692,0.597769178238106,0.1757184867284723,0.8781130268199234,0.7445685279187817,1.2513931235695794,0.11059133335424268
catboost,internal_val,0.7497571708118302,0.6245914863625135,0.7123098201936376,0.6691729323308271,0.484573502722323,0.5621052631578948,0.1913973083317526,0.852513966480447,0.728748806112703,0.9952738710307534,-0.0019370203245716391
catboost,internal_test,0.7504405398006672,0.6289459069478821,0.7123098201936376,0.651685393258427,0.5263157894736842,0.5823293172690763,0.19291787254005235,0.8268156424581006,0.7392607392607392,0.9002422531042334,-0.09757195466425522
