Characteristic,Level,"CHARLS_2018 (N=9,639)","KLOSA_2018 (N=5,521)",P_value,Effect_size
[Demographic],,,,,
ragender,Female,4885 (50.7%),3170 (57.4%),<0.001,0.065
,Male,4754 (49.3%),2351 (42.6%),,
agey,,67.0 (63.0–72.0),72.0 (66.0–79.0),<0.001,0.588
raeducl,Less than upper secondary,8724 (90.5%),3522 (63.8%),<0.001,0.331
,Upper secondary/Vocational,775 (8.0%),1456 (26.4%),,
,Tertiary education,140 (1.5%),543 (9.8%),,
ramomeducl,Less than upper secondary,9586 (99.5%),5459 (98.9%),<0.001,0.033
,Upper secondary/Vocational,41 (0.4%),53 (1.0%),,
,Tertiary education,12 (0.1%),9 (0.2%),,
radadeducl,Less than upper secondary,9354 (97.0%),5251 (95.1%),<0.001,0.051
,Upper secondary/Vocational,202 (2.1%),175 (3.2%),,
,Tertiary education,83 (0.9%),95 (1.7%),,
mstath,Married/Partnered,7347 (76.2%),3968 (71.9%),<0.001,0.140
,Widowed,1788 (18.5%),1391 (25.2%),,
,"Married, spouse absent",324 (3.4%),0 (0.0%),,
,Divorced,91 (0.9%),101 (1.8%),,
,Never married,60 (0.6%),28 (0.5%),,
,Separated,29 (0.3%),33 (0.6%),,
rural,Rural,5840 (60.6%),1503 (27.2%),<0.001,0.321
,Urban,3799 (39.4%),4018 (72.8%),,
child,,3.0 (2.0–4.0),3.0 (2.0–4.0),0.248,0.019
hhres,,2.0 (2.0–3.0),2.0 (2.0–3.0),<0.001,0.269
[Health Status and Medical-Related Factors],,,,,
shlta,Good,4632 (48.1%),2519 (45.6%),<0.001,0.209
,Fair,2311 (24.0%),1339 (24.3%),,
,Very good,1088 (11.3%),1208 (21.9%),,
,Excellent,943 (9.8%),62 (1.1%),,
,Poor,665 (6.9%),393 (7.1%),,
hlthlm,No,5332 (55.3%),3225 (58.4%),<0.001,0.030
,Yes,4307 (44.7%),2296 (41.6%),,
adlfive,No,7477 (77.6%),5212 (94.4%),<0.001,0.330
,Yes,1046 (10.9%),59 (1.1%),,
,2.0,500 (5.2%),0 (0.0%),,
,3.0,266 (2.8%),0 (0.0%),,
,4.0,213 (2.2%),0 (0.0%),,
,5.0,137 (1.4%),0 (0.0%),,
,5,0 (0.0%),139 (2.5%),,
,2,0 (0.0%),48 (0.9%),,
,4,0 (0.0%),34 (0.6%),,
,3,0 (0.0%),29 (0.5%),,
hibpe,No,5147 (53.4%),2741 (49.6%),<0.001,0.036
,Yes,4492 (46.6%),2780 (50.4%),,
diabe,No,8145 (84.5%),4246 (76.9%),<0.001,0.095
,Yes,1494 (15.5%),1275 (23.1%),,
cancre,No,9408 (97.6%),5109 (92.5%),<0.001,0.121
,Yes,231 (2.4%),412 (7.5%),,
lunge,No,7747 (80.4%),5318 (96.3%),<0.001,0.222
,Yes,1892 (19.6%),203 (3.7%),,
