iter	Passed	Remaining
0	192	153487
1	203	81201
2	214	56852
3	225	44888
4	237	37759
5	250	33176
6	263	29805
7	277	27448
8	290	25503
9	303	23987
10	315	22618
11	325	21372
12	335	20324
13	346	19432
14	356	18642
15	365	17915
16	375	17300
17	385	16745
18	395	16244
19	404	15774
20	413	15327
21	422	14949
22	432	14597
23	441	14265
24	450	13971
25	459	13677
26	467	13393
27	476	13145
28	485	12912
29	494	12680
30	504	12513
31	514	12358
32	524	12194
33	534	12033
34	544	11896
35	554	11775
36	564	11642
37	574	11520
38	584	11399
39	593	11284
40	604	11185
41	613	11078
42	623	10970
43	633	10877
44	642	10781
45	651	10684
46	661	10601
47	671	10515
48	681	10446
49	692	10381
50	701	10307
51	711	10237
52	720	10153
53	731	10099
54	740	10036
55	751	9981
56	761	9929
57	770	9861
58	780	9806
59	790	9753
60	800	9701
61	810	9646
62	820	9598
63	830	9547
64	840	9500
65	851	9467
66	861	9424
67	872	9387
68	882	9348
69	893	9321
70	904	9288
71	915	9257
72	927	9232
73	936	9189
74	947	9155
75	957	9120
76	967	9083
77	977	9047
78	986	9006
79	996	8967
80	1006	8937
81	1016	8904
82	1027	8872
83	1037	8841
84	1047	8807
85	1057	8777
86	1068	8755
87	1077	8721
88	1088	8692
89	1098	8665
90	1109	8643
91	1119	8613
92	1129	8589
93	1140	8563
94	1150	8534
95	1159	8504
96	1169	8477
97	1180	8453
98	1189	8424
99	1199	8396
100	1209	8368
101	1218	8340
102	1226	8298
103	1234	8264
104	1244	8236
105	1254	8214
106	1263	8185
107	1272	8156
108	1283	8136
109	1293	8115
110	1303	8091
111	1313	8065
112	1323	8046
113	1334	8028
114	1343	8003
115	1354	7984
116	1364	7963
117	1374	7942
118	1384	7925
119	1395	7907
120	1405	7887
121	1414	7862
122	1424	7843
123	1434	7821
124	1444	7801
125	1454	7779
126	1464	7762
127	1474	7742
128	1484	7720
129	1494	7700
130	1503	7680
131	1513	7659
132	1522	7636
133	1532	7616
134	1541	7595
135	1551	7574
136	1561	7555
137	1570	7533
138	1580	7514
139	1589	7493
140	1599	7476
141	1610	7460
142	1620	7442
143	1628	7418
144	1638	7401
145	1648	7385
146	1658	7365
147	1668	7351
148	1678	7333
149	1688	7316
150	1697	7297
151	1708	7282
152	1718	7265
153	1728	7248
154	1738	7232
155	1748	7216
156	1757	7199
157	1767	7180
158	1776	7162
159	1786	7145
160	1796	7129
161	1806	7113
162	1816	7098
163	1825	7080
164	1835	7065
165	1846	7051
166	1855	7033
167	1865	7018
168	1875	7001
169	1885	6985
170	1894	6968
171	1904	6953
172	1914	6936
173	1923	6920
174	1933	6904
175	1942	6888
176	1952	6872
177	1962	6856
178	1971	6840
179	1981	6824
180	1990	6807
181	1999	6789
182	2008	6772
183	2017	6755
184	2026	6737
185	2036	6723
186	2045	6706
187	2055	6690
188	2064	6674
189	2074	6661
190	2085	6648
191	2095	6634
192	2104	6618
193	2114	6606
194	2124	6592
195	2134	6576
196	2144	6563
197	2153	6546
198	2162	6530
199	2172	6516
200	2181	6501
201	2190	6485
202	2201	6473
203	2211	6461
204	2222	6450
205	2233	6439
206	2244	6428
207	2253	6414
208	2264	6402
209	2273	6388
210	2283	6373
211	2293	6359
212	2302	6346
213	2327	6374
214	2341	6370
215	2352	6360
216	2363	6351
217	2375	6342
218	2386	6332
219	2396	6319
220	2407	6306
221	2417	6292
222	2427	6280
223	2436	6265
224	2446	6251
225	2455	6237
226	2466	6224
227	2475	6211
228	2485	6198
229	2495	6185
230	2504	6170
231	2514	6155
232	2524	6142
233	2534	6129
234	2543	6116
